seed,method,target_fraction,n_targeted,n_treated,n_control,uplift,uplift_ci95_low,uplift_ci95_high,incremental_conversions_per_10000,incremental_conversions_per_10000_ci95_low,incremental_conversions_per_10000_ci95_high,cumulative_gain,auuc,qini,train_index_hash,test_index_hash
42,dr_learner,0.3,15003,7666,7337,0.0610983019744,0.0449723041558,0.0764177339917,610.983019744,449.723041558,764.177339917,916.657824522,0.0197964344709,0.0138987734026,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,dr_learner,0.5,25005,12686,12319,0.0454027062935,0.0342338881604,0.0572222369857,454.027062935,342.338881604,572.222369857,1135.29467087,0.0197964344709,0.0138987734026,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,causal_forest_dml,0.05,2500,1260,1240,0.0985535074245,0.0583829365079,0.138380696365,985.535074245,583.829365079,1383.80696365,246.383768561,0.00607455351014,0.00397533418326,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,causal_forest_dml,0.1,5001,2493,2508,0.0710410201195,0.0425957513574,0.0990089235505,710.410201195,425.957513574,990.089235505,355.276141618,0.00607455351014,0.00397533418326,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,causal_forest_dml,0.2,10002,4971,5031,0.0575300967436,0.0387959767126,0.0766108815747,575.300967436,387.959767126,766.108815747,575.416027629,0.00607455351014,0.00397533418326,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,causal_forest_dml,0.3,15003,7471,7532,0.0465419377301,0.0312406044921,0.0613096831558,465.419377301,312.406044921,613.096831558,698.268691765,0.00607455351014,0.00397533418326,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,causal_forest_dml,0.5,25005,12475,12530,0.0365951376016,0.0251455752687,0.0491544269705,365.951376016,251.455752687,491.544269705,915.061415729,0.00607455351014,0.00397533418326,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
137,random_ranking,0.05,2500,1240,1260,0.0448924731183,0.00968926011265,0.0839992959549,448.924731183,96.8926011265,839.992959549,112.231182796,0.00242682832402,0.00153594333197,19bd6790d07ff4f9e830e20f688bd4c46fbcec28aa6896089cdd8309928b4bc7,fe788b2c306f9da5469aabc3eea3cfe3100cb88949196986e8f56028570499fa
137,random_ranking,0.1,5001,2488,2513,0.0452828571173,0.0172705628481,0.0703737870149,452.828571173,172.705628481,703.737870149,226.459568443,0.00242682832402,0.00153594333197,19bd6790d07ff4f9e830e20f688bd4c46fbcec28aa6896089cdd8309928b4bc7,fe788b2c306f9da5469aabc3eea3cfe3100cb88949196986e8f56028570499fa
137,random_ranking,0.2,10002,5000,5002,0.041437504998,0.0226420411835,0.0600361615354,414.37504998,226.420411835,600.361615354,414.45792499,0.00242682832402,0.00153594333197,19bd6790d07ff4f9e830e20f688bd4c46fbcec28aa6896089cdd8309928b4bc7,fe788b2c306f9da5469aabc3eea3cfe3100cb88949196986e8f56028570499fa
137,random_ranking,0.3,15003,7516,7487,0.0380047075388,0.0226739942457,0.0523980189931,380.047075388,226.739942457,523.980189931,570.184627205,0.00242682832402,0.00153594333197,19bd6790d07ff4f9e830e20f688bd4c46fbcec28aa6896089cdd8309928b4bc7,fe788b2c306f9da5469aabc3eea3cfe3100cb88949196986e8f56028570499fa
137,random_ranking,0.5,25005,12561,12444,0.0355602365375,0.0225309793895,0.0473963010365,355.602365375,225.309793895,473.963010365,889.18371462,0.00242682832402,0.00153594333197,19bd6790d07ff4f9e830e20f688bd4c46fbcec28aa6896089cdd8309928b4bc7,fe788b2c306f9da5469aabc3eea3cfe3100cb88949196986e8f56028570499fa
137,two_model_logistic,0.05,2500,1264,1236,0.0784251976568,0.0406340251321,0.115931790484,784.251976568,406.340251321,1159.31790484,196.062994142,0.0225381188432,0.0145958634291,19bd6790d07ff4f9e830e20f688bd4c46fbcec28aa6896089cdd8309928b4bc7,fe788b2c306f9da5469aabc3eea3cfe3100cb88949196986e8f56028570499fa
137,two_model_logistic,0.1,5001,2497,2504,0.0753237751116,0.0493058603231,0.103738015971,753.237751116,493.058603231,1037.38015971,376.694199333,0.0225381188432,0.0145958634291,19bd6790d07ff4f9e830e20f688bd4c46fbcec28aa6896089cdd8309928b4bc7,fe788b2c306f9da5469aabc3eea3cfe3100cb88949196986e8f56028570499fa
